freq,unit,airpol,src_crf,geo\TIME_PERIOD	2019 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,AT	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,BE	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,BG	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,CY	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,CZ	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,DE	203.92 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,DK	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,EE	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,EL	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,ES	1442.02 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,EU27_2020	1669.48 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,EU28	1669.48 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,EU28_IS_K	1669.48 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,FI	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,FR	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,HR	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,HU	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,IE	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,IS	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,IT	23.54 
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,LT	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,LU	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,LV	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,MT	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,NL	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,PL	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,PT	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,RO	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,SE	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,SI	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,SK	: z
A,THS_T,HFC_PFC_NSP_CO2E,TOTX4_MEMONIA,UK	: z
