freq,unit,airpol,src_crf,geo\TIME_PERIOD	2019 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,AT	38.45 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,BE	128.27 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,BG	0.01 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,CY	: z
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,CZ	1.62 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,DE	231.76 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,DK	1.11 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,EE	: z
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,EL	137.1 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,ES	52.88 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,EU27_2020	2525.87 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,EU28	2870.56 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,EU28_IS_K	2967.62 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,FI	1.94 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,FR	619.76 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,HR	: z
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,HU	2.75 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,IE	63.05 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,IS	97.06 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,IT	1027.55 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,LT	: z
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,LU	: z
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,LV	: z
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,MT	0 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,NL	117.32 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,PL	10.76 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,PT	21.32 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,RO	3.83 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,SE	49.39 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,SI	11.81 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,SK	5.19 
A,THS_T,PFC_CO2E,TOTX4_MEMONIA,UK	344.69 
